Date,SP500,RFR,VOL,Expiration,F,Exercise,Price,PreviousPrice,Returns
2017-07-12,2443.25,0.01023,0.10300000000000001,2017-08-18,2445.7832618950683,2445.0,32.339887741198254,30.833896453289526,0.3315492936502977
2017-07-13,2447.8301,0.010129999999999998,0.099,2017-08-18,2450.275330581842,2445.0,33.0256739270269,33.0256739270269,0.021205583374830805
2017-07-14,2459.27,0.01008,0.0951,2017-08-18,2461.646590332771,2445.0,37.860281290737476,37.860281290737476,0.1463893628451931
2017-07-17,2459.1399,0.0102,0.09820000000000001,2017-08-18,2461.338454453133,2445.0,37.324799667281695,37.324799667281695,-0.014143625065637933
2017-07-18,2460.6101,0.010400000000000001,0.0989,2017-08-18,2462.782997784622,2445.0,37.95081348146391,37.95081348146391,0.01677206092899608
2017-07-19,2473.8301,0.01085,0.09789999999999999,2017-08-18,2476.035686867891,2445.0,45.75437929507166,45.75437929507166,0.2056231500128236
2017-07-20,2473.45,0.01113,0.0958,2017-08-18,2475.6367441813345,2445.0,44.54349364913628,44.54349364913628,-0.026464912530587026
2017-07-21,2472.54,0.01138,0.0936,2017-08-18,2474.697957293271,2445.0,42.95331394203049,42.95331394203049,-0.03569948328776007
2017-07-24,2469.9099,0.0115,0.0943,2017-08-18,2471.8548107200227,2445.0,39.925584926201964,39.925584926201964,-0.0704888339911266
2017-07-25,2477.1299,0.011430000000000001,0.0943,2017-08-18,2478.9910403592767,2445.0,44.474048991577774,44.474048991577774,0.11392354235468671
2017-07-26,2477.8301,0.01095,0.096,2017-08-18,2479.5392217169165,2445.0,44.80385253717213,44.80385253717213,0.007415640200801654
2017-07-27,2475.4199,0.010780000000000001,0.1011,2017-08-18,2477.027733592769,2445.0,43.621552134268086,43.621552134268086,-0.0263883647488381
2017-07-28,2472.1001,0.01053,0.10289999999999999,2017-08-18,2473.5972143240406,2445.0,41.120161633919,41.120161633919,-0.0573429962475831
2017-07-31,2470.3,0.01053,0.1026,2017-08-31,2472.508735041732,2475.0,28.243242705879766,38.0791973913656,-0.07395311987404718
2017-08-01,2476.3501,0.01058,0.1009,2017-08-31,2478.5029682613267,2475.0,30.330846554533082,30.330846554533082,0.07391516159788258
2017-08-02,2477.5701,0.0105,0.1028,2017-08-31,2479.6364508655897,2475.0,30.978973860026827,30.978973860026827,0.02136858608045933
2017-08-03,2472.1599,0.01058,0.10439999999999999,2017-08-31,2474.1657856136635,2475.0,28.097263909363164,28.097263909363164,-0.09302147849325715
2017-08-04,2476.8301,0.01053,0.1003,2017-08-31,2478.7588110364923,2475.0,28.844335617584875,28.844335617584875,0.026588770729834454
2017-08-07,2480.9099,0.010329999999999999,0.0993,2017-08-31,2482.5944338086133,2475.0,29.130458473185627,29.130458473185627,0.00991955090920249
2017-08-08,2474.9199,0.0103,0.10960000000000002,2017-08-31,2476.5256459393727,2475.0,27.91496968856154,27.91496968856154,-0.04172570046375801
2017-08-09,2474.02,0.010249999999999999,0.11109999999999999,2017-08-31,2475.5478953113493,2475.0,27.182703829823367,27.182703829823367,-0.026232013393094555
2017-08-10,2438.21,0.01018,0.1604,2017-08-31,2439.637496520242,2475.0,22.615912921095287,22.615912921095287,-0.16800355613328088
2017-08-11,2441.3201,0.010129999999999998,0.1551,2017-08-31,2442.674647995309,2475.0,21.735149719951664,21.735149719951664,-0.038944401856184974
2017-08-14,2465.8401,0.010029999999999999,0.1233,2017-09-15,2468.0078861022844,2470.0,34.92803094588362,22.401416469515198,0.030653883600900045
2017-08-15,2464.6101,0.01008,0.1204,2017-09-15,2466.7195343465482,2470.0,32.89529723026317,32.89529723026317,-0.05819777584284391
2017-08-16,2468.1101,0.00985,0.1174,2017-09-15,2470.1076951798514,2470.0,33.1805379515838,33.1805379515838,0.008671170207825929
