Date,Returns,w_SP500,w_c1,w_c2,w_c3,w_c4,w_RFR
2018-01-04,5.399750307555351e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-05,5.399750307555351e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-08,5.438896734411003e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-09,5.5758789474058545e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-10,5.497609163995776e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-11,5.5289189224927426e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-12,5.5563129429891944e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-16,5.497609163995776e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-17,5.5758789474058545e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-18,5.5367459776745065e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-19,5.5289189224927426e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-22,5.478039315431893e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-23,5.568052660942513e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-24,5.5563129429891944e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-25,5.489781339917954e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-26,5.470211106861633e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-29,5.4193240017541555e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-30,5.6150080739447716e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-01-31,5.634571196244664e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-01,5.724549188856898e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-02,5.71281408126012e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-05,5.744106933502913e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-06,5.861433244902514e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-07,5.9669973936582466e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-08,5.9669973936582466e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-09,6.006088129795195e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-12,6.045175031044181e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-13,6.18194899655311e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-14,6.10379819414586e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-15,6.142875511461199e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-16,6.18194899655311e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-20,6.193670294885045e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-21,6.33039330297791e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-22,6.318676026206838e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-23,6.318676026206838e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-26,6.33039330297791e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-27,6.435833290407977e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-02-28,6.369448403731326e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-01,6.260084472953231e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-02,6.318676026206838e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-05,6.396784696605096e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-06,6.467069410232007e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-07,6.494399006440332e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-08,6.435833290407977e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-09,6.435833290407977e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-12,6.467069410232007e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-13,6.650532175767054e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-14,6.759789001442584e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-15,6.818307122014033e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-16,6.837811252435877e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-19,6.79880203675598e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-20,6.915818227914983e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-21,6.728575822556593e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-22,6.623213287459961e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-23,6.642726970240709e-05,0.0,0.0,0.0,0.0,1.0,0.0
2018-03-26,0.3165657096581076,0.0,0.0,0.0,0.0,0.0,1.0
2018-03-27,6.818307122014033e-05,0.0,0.0,0.0,0.0,1.0,0.0
2018-03-28,-0.0971060772177249,0.0,0.0,0.0,0.0,1.0,0.0
2018-03-29,0.10188888790369277,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-02,6.623213287459961e-05,0.0,0.0,0.0,0.0,1.0,0.0
2018-04-03,0.10858695331073176,0.0,0.0,0.0,0.0,1.0,0.0
2018-04-04,0.2216355299469388,0.0,0.0,0.0,0.0,1.0,0.0
2018-04-05,0.0946640616675214,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-06,6.611504619025155e-05,0.0,0.0,0.0,0.0,1.0,0.0
2018-04-09,-0.03391829358369891,0.0,0.0,0.0,0.0,1.0,0.0
2018-04-10,0.4682253298901933,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-11,6.662239697363681e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-12,6.709066343968395e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-13,6.759789001442584e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-16,6.740281051187402e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-17,6.904118155182104e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-18,6.962615083461188e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-19,7.01330547521195e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-20,6.943117061619652e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-23,7.01330547521195e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-24,7.169235474080438e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-25,7.13805435585968e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-26,7.021103424653674e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-27,6.962615083461188e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-04-30,6.935317585687883e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-01,7.118564917729664e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-02,7.021103424653674e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-03,7.032800062645173e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-04,7.052293696307999e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-07,7.052293696307999e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-08,7.216002576515557e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-09,7.254970969028385e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-10,7.254970969028385e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-11,7.31341641264649e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-14,7.293935550678476e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-15,7.371853284321439e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-16,7.332896322176374e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-17,7.32510447265522e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-18,7.293935550678476e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-21,7.32510447265522e-05,0.0,0.0,0.0,0.0,0.0,1.0
2018-05-22,7.441966218890705e-05,0.0,0.0,0.0,0.0,0.0,1.0
