----- Base data -----
Date,SP500,RFR,VOL,Returns
2018-09-26,2905.97,0.0216,0.12890000000000001,2018-10-19,2909.9252858762115,2885.0,26.203926449987193,26.203926449987193,0.18874851035754214
2018-09-27,2914.0,0.021400000000000002,0.1241,2018-10-19,2917.7585099607754,2885.0,21.240234714354415,21.240234714354415,-0.1894254948817109
2018-09-28,2913.98,0.0215,0.12119999999999999,2018-10-19,2917.584313418531,2885.0,19.800056540508876,19.800056540508876,-0.06780424949222652
2018-10-01,2924.5901,0.02155,0.12,2018-10-31,2929.771268564855,2930.0,40.23948280654304,14.103682532102198,-0.28769483545425667
2018-10-02,2923.4299,0.02175,0.12050000000000001,2018-10-31,2928.4827309030115,2930.0,40.37015275407839,40.37015275407839,0.0032473068345229006
2018-10-03,2925.51,0.0217,0.1161,2018-10-31,2930.3806890652504,2930.0,37.32319786961057,37.32319786961057,-0.07547543609826957
2018-10-04,2901.6101,0.0217,0.14220000000000002,2018-10-31,2906.2683275715876,2930.0,57.771429542377064,57.771429542377064,0.547869229860819
2018-10-05,2885.5701,0.02165,0.1482,2018-10-31,2890.020585083043,2930.0,68.52721116828548,68.52721116828548,0.18617821492574826
2018-10-08,2884.4299,0.02165,0.1569,2018-10-31,2888.364961952474,2930.0,69.40077965326304,69.40077965326304,0.01274776063529437
2018-10-09,2880.3401,0.02185,0.1595,2018-10-31,2884.133367619331,2930.0,71.8721339828503,71.8721339828503,0.035609892884986616
2018-10-10,2785.6799,0.0222,0.22960000000000003,2018-10-31,2789.237773054518,2790.0,61.56458080488369,156.53098441057546,1.177909235976296
2018-10-11,2728.3701,0.02215,0.24980000000000002,2018-10-31,2731.681260104054,2790.0,97.57066912264986,97.57066912264986,0.5848507022549227
2018-10-12,2767.1299,0.022180000000000002,0.21309999999999998,2018-11-16,2773.017394491045,2775.0,73.82819196604373,64.23565603798056,-0.3416499382900201
2018-10-15,2750.79,0.0223,0.21300000000000002,2018-11-16,2756.1695552205233,2775.0,79.21336139972391,79.21336139972391,0.07294191135219719
2018-10-16,2809.9199,0.0226,0.17620000000000002,2018-11-16,2815.314887383574,2775.0,39.246066494022216,39.246066494022216,-0.5045524416521099
2018-10-17,2809.21,0.0226,0.174,2018-11-16,2814.4294749749592,2775.0,38.017088413794454,38.017088413794454,-0.03131468169975593
2018-10-18,2768.78,0.02255,0.2006,2018-11-16,2773.741712670458,2775.0,63.071626494596785,63.071626494596785,0.6590335853208402
2018-10-19,2767.78,0.0226,0.19890000000000002,2018-11-16,2772.579368283776,2775.0,62.042657966210754,62.042657966210754,-0.0163142856078744
2018-10-22,2755.8799,0.02258,0.19640000000000002,2018-11-16,2760.142451673804,2775.0,64.36386836422253,64.36386836422253,0.03741313596325835
2018-10-23,2740.6899,0.0229,0.2071,2018-11-16,2744.8169828390987,2775.0,74.65916567985073,74.65916567985073,0.15995460772135583
2018-10-24,2656.1001,0.022850000000000002,0.2523,2018-11-16,2659.924653493739,2660.0,67.11471086824031,140.76015103387772,0.8853699978041214
